trap_type,dep_date,dep_time,ret_date,ret_time,tag_num,trap_num,cam_num,pot_light,sound_trap,site_name,site_ID,site_GPS,site_depth,site_description,dist_btwn_traps,surveyed,surv_time,site_rel,lf_num_surv,lf_permin_surv,surveyor,gt_open_dep,gt_open_soak,lf_catch_num,lf_size,lf_near_trap,lf_esc,bycatch_num,bycatch_desc,bycatch_size,comments_dep,comments_ret,cam_recorded,cam_final_day,comment_vid,recr_time_to_first_lf,max_lf_MLTt_vid,max_lf_vid,time_stamp_sound_trap,sound_trap_file_range,vid_summary,notable_spp_vid
MLT,5.8.2023,9:54am,5.11.2023,9:26am,13,L4,GB DW,no,no,Jawfish Spawn,JS,"N 24°43.7980', W 080°47.1700'",36.5,"low-relief hard bottom, sandy",20.7,yes,10,0,0,0,LR,N/A,N/A,0,0,0,0,1,"Grey Triggerfish, 1",126,,,Yes,3,,,,,N/A,N/A,,
GT,5.8.2023,10:34am,5.11.2023,9:54am,3,G3,GB 1 (JB),yes,no,Grey Spot,GS,"N 24°43.6679', W 080°47.7677'",34.4,"low-relief hard bottom, sandy",13.1,yes,8,0,0,0,TY,Open,Open,0,0,0,0,0,0,0,"GT opened, E current, algae and sandy hard bottom, 2 grey angelfish swimming around the trap, maybe there is reef nearby? ",,Yes,3,,,,,N/A,N/A,,
MLT,5.8.2023,10:35am,5.11.2023,9:44am,12,L3,GoPro 2,yes,no,Grey Spot,GS,"N 24°43.6621', W 080°47.7640'",34.4,"low-relief hard bottom, sandy",13.1,yes,8,0,0,0,TY,N/A,N/A,0,0,0,0,0,0,0,,,Yes,2,,,,,N/A,N/A,,
GT,5.8.2023,11:18am,5.11.2023,10:24am,1,G1,GoPro 3,no,no,Big Head Todd,BHT,"N 24°43.5814', W 080°48.1465'",33.8,patchy hard bottom,15.2,yes,10,0.9,7,0.7,LR,Open,Open,0,0,0,0,0,0,0,"GT opened, E current, groupers, snappers, lionfish hanging out on coral bommies",,Yes,3,,,,,N/A,N/A,,
MLT,5.8.2023,11:19am,5.11.2023,10:16am,10,L1 ,GoPro 4,no,no,Big Head Todd,BHT,"N 24°43.5792', W 080°48.1548'",33.8,patchy hard bottom,15.2,yes,10,0.9,7,0.7,LR,N/A,N/A,0,0,0,0,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,5.11.2023,12:44pm,5.14.2023,10:33am,2,G2,GB 2 (HC),yes,no,Off Day West,ODW,"N 24°55.1849', W 080°29.4464'",39.6,"low-relief hard bottom, sandy",23.5,yes,7,0,0,0,TY,Open,Open,0,0,No Drop Camera,No Drop Camera,0,0,0,"GT opened, coral heads on the edge of deep reef ledge, traps about 20' fronm ledge",Stacey taking photos during retrieval,Yes,3,,,,,N/A,N/A,,
MLT,5.11.2023,12:49pm,5.14.2023,10:25am,11,L2,GoPro 4,yes,yes,Off Day West ,ODW,"N 24°55.1928', W 080°29.4564'",39.6,"low-relief hard bottom, sandy",23.5,yes,7,0,0,0,TY,N/A,N/A,0,0,No Drop Camera,No Drop Camera,1,"Blue Tang, 1",315,,,Yes,3,"No lionfish. Chalk bass, blue tang, hogfish in and around trap",N/A,0,0,N/A,N/A,"Camera lasted entire deployment, good view of most of trap",
GT,5.11.2023,1:15pm,5.14.2023,9:57am,1,G1,GoPro 3,no,no,Off Day East ,ODE,"N 24°55.0810', W 080°29.6920'",35.9,patchy hard bottom,14.3,yes,7,1.5,5,0.71,LR,Open,Open,0,0,0,0,0,0,0,"GT opened, slight NE current, sandy bottom in some areas",Stacey taking photos during retrieval,Yes,0,,,,,N/A,N/A,,
MLT,5.11.2023,1:16pm,5.14.2023,10:00am,10,L1,GoPro 5,no,no,Off Day East ,ODE,"N 24°55.0776', W 080°29.6994'",35.9,patchy hard bottom,14.3,yes,7,1.5,5,0.71,LR,N/A,N/A,0,0,0,0,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,5.11.2023,1:51pm,5.14.2023,9:33am,3,G3,GB 1 (JB),yes,no,Teddy Black ,TB,"N 24°54.8368', W 080°29.9893'",33.2,patchy hard bottom,14.6,yes,7,1.2,0,0,TY,Open,Open,0,0,No Drop Camera,No Drop Camera,0,0,0,"GT opened, beautiful reef ledge, small coral heads in the sand, no baitfish, 100'+ visibility, traps about 30-40' from reef ledge",Stacey taking photos during retrieval,Yes,3,,,,,N/A,N/A,,
MLT,5.11.2023,1:51pm,5.14.2023,9:37am,12,L3,GoPro 2,yes,no,Teddy Black ,TB,"N 24°54.8341', W 080°29.9971'",33.2,patchy hard bottom,14.6,yes,7,1.2,0,0,TY,N/A,N/A,0,0,Camera did not reach bottom,Camera did not reach bottom,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,5.11.2023,2:22pm,5.14.2023,9:05am,4,G4,GoPro 1,no,no,Mystery Ledge ,MLT,"N 24°54.6602', W 080°30.2665'",36.2,low-relief spur and groove ,14.3,yes,8,0.9,0,0,LR,Open,Open,0,0,No Drop Camera,No Drop Camera,1,"Scrawled Filefish, 1",450,"GT opened, traps about 40' from ledge, small goliath groupers, big porgies ",Stacey taking photos during retrieval,Yes,3,,,,,N/A,N/A,,
MLT,5.11.2023,2:23pm,5.14.2023,9:10am,13,L4,GB DW,no,no,Mystery Ledge ,MLT,"N 24°54.6541', W 080°30.2717'",36.2,low-relief spur and groove ,14.3,yes,8,0.9,0,0,LR,N/A,N/A,0,0,Camera did not reach bottom,Camera did not reach bottom,0,0,0,,,Yes,3,,,,,N/A,N/A,,Green Sea Turtle (GOPR1512)
GT,5.14.2023,11:19am,5.17.2023,9:36am,2,G2,GB 2 (HC),yes,no,Deep Pickles West ,DPW,"N 24°58.7356', W 080°24.5273'",39.6,patchy low-relief hard bottom,16.7,yes,7,0.9,2,0.29,LR,Open,Open,0,0,Trap pulled early,Trap pulled early,0,0,0,"GT partially opened, GT landed in reef, strong current, subsurface floats located at 80' ","Stacey taking photos during retrieval, moderate current, 100+ visibility, drop camera screen froze after being deployed",Yes,3,,,,,N/A,N/A,,
MLT,5.14.2023,11:20am,5.17.2023,9:41am,11,L2,GoPro 2,yes,yes,Deep Pickles West ,DPW,"N 24°58.7334', W 080°24.5178'",39.6,patchy low-relief hard bottom,16.7,yes,7,0.9,2,0.29,LR,N/A,N/A,0,0,Trap pulled early,Trap pulled early,0,0,0,,,Yes,3,"No lionfish. Trumpetfish, sharpnose puffers, bicolor damsels, spotted goatfish in and around trap",N/A,0,0,N/A,N/A,"Camera lasted until night of 16th, good view of most of trap",
GT,5.14.2023,12:31pm,5.17.2023,9:58am,1,G1,GoPro 1,no,no,Deep Pickles East ,DPE,"N 24°58.9403', W 080°24.3467'",36.3,patchy low-relief hard bottom,27.4,yes,6,0.6,0,0,LR,Open,Open,0,0,Trap pulled early,Trap pulled early,0,0,0,"GT opened in sand bottom, MLTT in reef, patchy coral heads",Stacey taking photos during retrieval,Yes,1,,,,,N/A,N/A,,
MLT,5.14.2023,12:31pm,5.17.2023,10:01am,10,L1,GoPro 4,no,no,Deep Pickles East ,DPE,"N 24°58.9550', W 080°24.3455'",36.3,patchy low-relief hard bottom,27.4,yes,6,0.6,0,0,LR,N/A,N/A,0,0,Trap pulled early,Trap pulled early,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,5.14.2023,1:47pm,5.17.2023,10:52am,3,G3,GB 1 (JB),yes,no,Staceyfish ,SFS,"N 24°58.9688', W 080°24.2398'",39.6,low-relief hard bottom,16.4,yes,8,0,0,0,LR,Closed,Open,0,0,Trap pulled early,Trap pulled early,0,0,0,"GT did not open landed on reef, NNE current, warm pockets and thermoclines on the bottom, perfect site for lionfish, but surprised at why there aren't more lions?!",Stacey taking photos during retrieval,Yes,3,,,,,N/A,N/A,,
MLT,5.14.2023,1:47pm,5.17.2023,10:42am,12,L3,GoPro 5,yes,no,Staceyfish ,SFS,"N 24°58.9776', W 080°24.2418'",39.6,low-relief hard bottom,16.4,yes,8,0,0,0,LR,N/A,N/A,0,0,Trap pulled early,Trap pulled early,0,0,0,,,Yes,2,,,,,N/A,N/A,,
GT,5.14.2023,3:01pm,5.17.2023,11:08am,4,G4,GoPro 3,no,no,Cold Pickles ,CP,"N 24°59.0732', W 080°24.1123'",38.4,low-relief hard bottom,17.3,yes,7,1,1,0.14,LR,Closed,Open,0,0,Trap pulled early,Trap pulled early,0,0,0,"GT did not open landed on reef, cold dive, current smoking in mid-water, traps landed next to lionfish on drop ",Stacey taking photos during retrieval,Yes,3,,,,,N/A,N/A,,
MLT,5.14.2023,3:02pm,5.17.2023,11:15am,13,L4,GB DW,no,no,Cold Pickles ,CP,"N 24°59.0724', W 080°24.1224'",38.4,low-relief hard bottom,17.3,yes,7,1,1,0.14,LR,N/A,N/A,0,0,Trap pulled early,Trap pulled early,0,0,0,,,Yes,3,,,,,N/A,N/A,,
GT,5.31.2023,9:09am,6.3.2023,9:55am,4,G4,GoPro 5,no,no,Pats Big One,PBO,"N 24°42.4596', W 080°50.8063'",32.9,rocky outcrop,14.1,yes,8,3,7,0.88,JV,Open,Open,0,0,No Drop Camera,No Drop Camera,0,0,0,"GT landed in the sand off the reef - opened, MLTT next to reef, coral caves, set of derelict lobster traps found off reef","David and Dylan diving on trap retrieval, 15' murkey visbility, used lift bag to close trap, could not find MLTT after retreiving GT, came to the surface to do another drop on the MLTT, moderate+ current",Yes,3,,,,,N/A,N/A,,
MLT,5.31.2023,9:10am,6.3.2023,10:19am,13,L4,GB DW,no,no,Pats Big One,PBO,"N 24°42.4584', W 080°50.8140'",32.9,rocky outcrop,14.1,yes,8,3,7,0.88,JV,N/A,N/A,0,0,Camera did not reach bottom,Camera did not reach bottom,0,0,0,,"David and Dylan diving on trap retreival, 15' murkey visbility, had to do two more hot drops on this trap to retrieve the trap due to low vsibility and divers not seeing trap when deployed, retrieval ended up being 24 minutes after GT, moderate+ current",Yes,3,,,,,N/A,N/A,,
GT,5.31.2023,9:49am,6.3.2023,9:31am,1,G1,GB 1 (JB),yes,no,Sand Coral,SC,"N 24°42.1715', W 080°51.4949'",34.4,rocky outcrop ,16.7,yes,8,1.8,4,0.5,LR,Open,Open,0,0,0,0,0,0,0,"traps 40'+ apart from each other, GT open 20' from reef, lobster trap debris off reef, friendly fish, lionfish near traps. 84 degrees on bottom, 50' viz","David and Dylan diving on trap retrieval, 20' murkey visibility, use lift bag to close trap, moderate+ current",No,"None, GitUp Camera Flooded",,,,,N/A,N/A,,
MLT,5.31.2023,9:50am,6.3.2023,9:35am,10,L1,GoPro 1,yes,no,Sand Coral,SC,"N 24°42.1704', W 080°51.5046'",34.4,rocky outcrop ,16.7,yes,8,1.8,4,0.5,LR,N/A,N/A,0,0,Trap pulled early,Trap pulled early,0,0,0,,"David and Dylan diving on trap retrieval, 20' murkey visibility, use lift bag  send up trap, moderate+ current",Yes,2,,,,,N/A,N/A,,
GT,5.31.2023,10:36am,6.3.2023,9:04am,3,G3,GB 2 (HC),yes,no,Big Rocks,BR,"N 24°41.9366', W 080°52.0817'",34.7,rocky outcrop,14.3,yes,12,1.8,16,1.33,JV,Open,Open,0,0,0,0,0,0,0,"GT kind of deployed, had to push down to finish opening all the way, nice mutton snapper, lots of lions - especially on the edge of reef swimming away from coral heads, black grouper","David and Dylan diving on trap retrieval, 20' murkey  visibility, used lift bags to close traps, moderate+ current",Yes,3,,,,,N/A,N/A,,Green Sea Turtle (2023_0601_090637_026)
MLT,5.31.2023,10:37am,6.3.2023,9:08am,12,L3,GoPro 2,yes,yes,Big Rocks,BR,"N 24°41.9358', W 080°52.0896'",34.7,rocky outcrop,14.3,yes,12,1.8,16,1.33,JV,N/A,N/A,0,0,0,0,1,"Grey Angelfish, 1",304,,"David and Dylan diving on trap retrieval, 20' murkey visibility, used lift bags to send up trap,moderate+ current, grey angelfish had intenstines spilling out of body, fish did swim back down but likely did not survive",Yes,3,"Lionfish arrives at 28 hr, gone in next video. Grey angelfish in trap",28 hr ,0,1,[2:37 pm (6/1) - 3:37 pm (6/1)],671383588.2,"Camera lasted entire deployment, good view of entire trap",
GT,5.31.2023,11:16am,6.3.2023,1:04pm,2,G2,GoPro 3,no,no,Weird Reef,WR,"N 24°41.8081', W 080°52.4698'",32.6,low-relief spur and groove ,14.9,yes,6,1.8,0,0,LR,Open,Open,0,0,Camera did not reach bottom,Camera did not reach bottom,0,0,0,"GT and MLTT deployed on reef, GT opened, seemed to be more in shore than other sites during the day","David and Dylan diving on trap retreival, 20' murkey visbility, moderate+ current, tried to use lift bag to send trap up, but trap did not come up with bag fully inflated, this trap was located more in the reef, so we guessed the foot was stuck on some part of the coral, Jason solo dove the trap, released the foot from the coral and sent trap to the surface, he said he could see the trap closed when he went down with nothing in it, he took the lift bag off at the shallow depth and reinflated the lift bag on the bottom",Yes,3,"No lionfish. Trap slightly off bottom (resting on soft corals). Trumpetfish, spotted goatfish, grasby around and under trap",N/A,0,0,N/A,N/A,"Camera lasted entire deployment, good view of 2/3 of trap",
MLT,5.31.2023,11:17am,6.3.2023,12:34pm,11,L2,GoPro 4,no,no,Weird Reef,WR,"N 24°41.8122', W 080°52.4766'",32.6,low-relief spur and groove ,14.9,yes,6,1.8,0,0,LR,N/A,N/A,0,0,Trap pulled early,Trap pulled early,0,0,0,,"David and Dylan diving on trap retreival, 20' murkey visbility, moderate+ current, used lift bags to send up trap",Yes,3,"No lionfish. Angelfish, damselfish, and goatfish swimmin in and around trap",N/A,0,0,N/A,N/A,"Camera lasted entire deployment, good view of 3/4 of trap",
